frame_nr,latency [ms]
0.0,0.28600000000000003
1.0,0.28600000000000003
2.0,0.28
3.0,0.3
4.0,0.279
5.0,0.28
6.0,0.276
7.0,0.271
8.0,0.275
9.0,0.28
10.0,0.28
11.0,0.28500000000000003
12.0,1.536
13.0,0.279
14.0,0.275
15.0,0.28600000000000003
16.0,1.546
17.0,0.28700000000000003
18.0,0.181
19.0,0.291
20.0,0.309
21.0,0.309
22.0,0.301
23.0,0.279
24.0,0.291
25.0,0.292
26.0,1.5170000000000001
27.0,0.311
28.0,0.194
29.0,0.294
30.0,0.294
31.0,0.316
32.0,0.274
33.0,0.314
34.0,0.308
35.0,0.28400000000000003
36.0,0.304
37.0,0.315
38.0,0.309
39.0,0.28300000000000003
40.0,0.303
41.0,0.323
42.0,0.312
43.0,0.315
44.0,0.317
45.0,0.317
46.0,1.575
47.0,0.297
48.0,0.304
49.0,0.313
50.0,0.318
51.0,0.316
52.0,0.516
53.0,0.314
54.0,0.315
55.0,0.316
56.0,1.579
57.0,0.28700000000000003
58.0,0.524
59.0,0.279
60.0,0.299
61.0,0.312
62.0,0.309
63.0,0.312
64.0,0.31
65.0,0.316
66.0,0.292
67.0,0.291
68.0,0.307
69.0,0.313
70.0,0.316
71.0,0.323
72.0,0.309
73.0,0.295
74.0,0.316
75.0,0.32
76.0,0.309
77.0,0.319
78.0,0.28700000000000003
79.0,0.456
80.0,0.315
81.0,0.294
82.0,0.319
83.0,0.315
84.0,0.316
85.0,0.317
86.0,0.311
87.0,0.293
88.0,0.313
89.0,1.514
90.0,1.471
91.0,0.319
92.0,0.306
93.0,0.3
94.0,0.317
95.0,0.313
96.0,0.31
97.0,0.311
98.0,0.302
99.0,0.278
100.0,0.317
101.0,0.316
102.0,0.319
103.0,0.28600000000000003
104.0,0.31
105.0,0.533
106.0,0.321
107.0,1.5010000000000001
108.0,0.577
109.0,0.316
110.0,0.318
111.0,0.292
112.0,0.312
113.0,1.569
114.0,0.308
115.0,0.29
116.0,0.312
117.0,0.323
118.0,0.319
119.0,0.319
120.0,0.31
121.0,0.303
122.0,0.31
123.0,0.315
124.0,0.318
125.0,0.326
126.0,0.297
127.0,0.399
128.0,0.28600000000000003
129.0,0.313
130.0,0.316
131.0,0.321
132.0,0.52
133.0,0.313
134.0,0.315
135.0,0.305
136.0,0.316
137.0,1.587
138.0,0.272
139.0,0.28600000000000003
140.0,0.406
141.0,0.306
142.0,0.324
143.0,0.277
144.0,1.419
145.0,0.28800000000000003
146.0,0.28700000000000003
147.0,1.5350000000000001
148.0,0.275
149.0,0.269
150.0,0.28600000000000003
151.0,0.303
152.0,0.292
153.0,0.314
154.0,0.301
155.0,0.299
156.0,0.20600000000000002
157.0,0.297
158.0,0.307
159.0,0.279
160.0,0.299
161.0,0.278
162.0,0.306
163.0,0.308
164.0,1.508
165.0,0.28700000000000003
166.0,0.273
167.0,0.276
168.0,0.281
169.0,0.28500000000000003
170.0,0.268
171.0,0.304
172.0,0.321
173.0,0.289
174.0,0.385
175.0,0.302
176.0,0.279
177.0,1.544
178.0,0.20500000000000002
179.0,0.28400000000000003
180.0,0.271
181.0,0.279
182.0,0.28500000000000003
183.0,0.274
184.0,0.28300000000000003
185.0,0.273
186.0,0.276
187.0,0.276
188.0,0.279
189.0,0.28800000000000003
190.0,0.311
191.0,1.522
192.0,0.291
193.0,0.308
194.0,0.318
195.0,0.291
196.0,0.317
197.0,0.319
198.0,0.28800000000000003
199.0,0.314
200.0,0.28200000000000003
201.0,1.5230000000000001
202.0,0.218
203.0,0.319
204.0,0.3
205.0,0.312
206.0,0.28700000000000003
207.0,0.314
208.0,0.295
209.0,0.318
210.0,0.311
211.0,0.294
212.0,0.293
213.0,0.318
214.0,0.307
215.0,0.312
216.0,0.312
217.0,0.313
218.0,1.5210000000000001
219.0,0.332
220.0,0.306
221.0,0.293
222.0,1.576
223.0,0.28600000000000003
224.0,0.31
225.0,0.268
226.0,0.303
227.0,0.193
228.0,0.291
229.0,0.28800000000000003
230.0,0.28500000000000003
231.0,0.29
232.0,0.305
233.0,0.292
234.0,0.28
235.0,0.275
236.0,0.289
237.0,0.28600000000000003
238.0,1.5
239.0,0.28300000000000003
240.0,0.278
241.0,0.298
242.0,0.28300000000000003
243.0,0.306
244.0,0.314
245.0,0.271
246.0,0.20500000000000002
247.0,0.296
248.0,0.272
249.0,0.276
250.0,0.28500000000000003
251.0,0.277
252.0,1.544
253.0,0.309
254.0,0.303
255.0,1.423
256.0,0.308
257.0,0.28
258.0,0.303
259.0,0.298
260.0,0.293
261.0,0.28300000000000003
262.0,0.28500000000000003
263.0,0.28500000000000003
264.0,0.28600000000000003
265.0,0.269
266.0,0.28200000000000003
267.0,0.28200000000000003
268.0,0.279
269.0,0.28400000000000003
270.0,0.28700000000000003
271.0,0.281
272.0,0.294
273.0,0.307
274.0,0.31
275.0,0.275
276.0,0.277
277.0,0.277
278.0,0.28600000000000003
279.0,0.301
280.0,0.319
281.0,0.273
282.0,0.268
283.0,0.28
284.0,0.29
285.0,0.313
286.0,0.298
287.0,0.28800000000000003
288.0,0.321
289.0,0.291
290.0,0.274
291.0,0.281
292.0,0.272
293.0,0.28800000000000003
294.0,0.279
295.0,0.279
296.0,0.281
297.0,0.309
298.0,0.291
299.0,1.495
300.0,0.294
301.0,0.276
302.0,0.28
303.0,0.269
304.0,0.279
305.0,0.181
306.0,0.28500000000000003
307.0,0.28600000000000003
308.0,0.28800000000000003
309.0,0.28500000000000003
310.0,0.28300000000000003
311.0,0.28800000000000003
312.0,0.28600000000000003
313.0,0.28600000000000003
314.0,0.281
315.0,0.29
316.0,0.268
317.0,0.277
318.0,0.281
319.0,0.277
320.0,0.194
321.0,0.28300000000000003
322.0,0.299
323.0,1.479
324.0,0.319
325.0,0.274
326.0,0.28800000000000003
327.0,0.28
328.0,0.289
329.0,0.279
330.0,0.295
331.0,0.304
332.0,0.28500000000000003
333.0,1.543
334.0,0.28400000000000003
335.0,0.289
336.0,0.28700000000000003
337.0,0.277
338.0,0.279
339.0,0.277
340.0,0.281
341.0,0.291
342.0,0.276
343.0,1.544
344.0,0.291
345.0,0.289
346.0,0.298
347.0,0.278
348.0,0.28300000000000003
349.0,0.291
350.0,1.47
351.0,0.28800000000000003
352.0,0.28600000000000003
353.0,0.305
354.0,0.31
355.0,0.296
356.0,0.305
357.0,0.298
358.0,0.5
359.0,0.281
360.0,1.537
361.0,0.28500000000000003
362.0,0.298
363.0,0.20400000000000001
364.0,0.28600000000000003
365.0,0.28400000000000003
366.0,0.308
367.0,0.305
368.0,0.28200000000000003
369.0,0.304
370.0,0.292
371.0,0.302
372.0,0.312
373.0,0.28500000000000003
374.0,0.277
375.0,0.182
376.0,0.269
377.0,0.307
378.0,0.327
379.0,0.313
380.0,0.28200000000000003
381.0,0.318
382.0,0.291
383.0,0.277
384.0,0.304
385.0,0.314
386.0,0.28500000000000003
387.0,1.539
388.0,0.18
389.0,0.295
390.0,0.294
391.0,0.308
392.0,0.303
393.0,0.19
394.0,0.277
395.0,1.493
396.0,0.28500000000000003
397.0,0.273
398.0,0.277
399.0,0.281
400.0,1.555
401.0,0.31
402.0,0.309
403.0,0.303
404.0,0.308
405.0,0.308
406.0,0.299
407.0,0.28400000000000003
408.0,0.279
409.0,0.296
410.0,0.307
411.0,0.28300000000000003
412.0,0.272
413.0,0.278
414.0,0.28500000000000003
415.0,0.304
416.0,0.28300000000000003
417.0,0.269
418.0,0.277
419.0,0.293
420.0,0.304
421.0,0.306
422.0,0.307
423.0,0.293
424.0,0.299
425.0,0.289
426.0,0.3
427.0,0.295
428.0,0.301
429.0,0.304
430.0,0.305
431.0,1.487
432.0,0.296
433.0,0.27
434.0,0.271
435.0,0.273
436.0,0.273
437.0,0.28200000000000003
438.0,0.28
439.0,0.28
440.0,0.274
441.0,1.538
442.0,0.291
443.0,0.28600000000000003
444.0,0.275
445.0,0.276
446.0,0.279
447.0,0.281
448.0,0.281
449.0,0.307
450.0,0.318
451.0,1.583
452.0,0.307
453.0,0.3
454.0,0.317
455.0,0.28
456.0,0.294
457.0,0.292
458.0,0.278
459.0,0.302
460.0,0.311
461.0,1.508
462.0,0.311
463.0,0.304
464.0,0.305
465.0,0.301
466.0,0.303
467.0,0.272
468.0,0.275
469.0,0.28
470.0,0.29
471.0,0.263
472.0,0.28400000000000003
473.0,0.274
474.0,0.308
475.0,0.28500000000000003
476.0,0.307
477.0,0.312
478.0,0.273
479.0,0.20800000000000002
480.0,0.301
481.0,0.306
482.0,0.28
483.0,0.28600000000000003
484.0,0.19
485.0,0.271
486.0,0.28
487.0,0.281
488.0,0.276
489.0,0.28
490.0,0.273
491.0,0.28700000000000003
492.0,0.281
493.0,0.317
494.0,0.311
495.0,0.277
496.0,0.313
497.0,0.316
498.0,0.317
499.0,1.54
500.0,0.304
501.0,0.294
502.0,0.316
503.0,0.306
504.0,0.316
505.0,0.303
506.0,0.296
507.0,0.31
508.0,0.314
509.0,0.305
510.0,0.314
511.0,0.28300000000000003
512.0,0.315
513.0,0.31
514.0,0.318
515.0,1.534
516.0,0.31
517.0,0.31
518.0,0.28400000000000003
519.0,0.301
520.0,0.311
521.0,0.309
522.0,0.312
523.0,0.313
524.0,0.307
525.0,0.303
526.0,0.291
